condition,method,seed,coverage_percent,team_score_unique_weighted_cells,covered_area_m2,aoi_cells,covered_cells,cell_observations,exposure_redundancy_percent,revisited_covered_cells_percent,coverage_episodes,observation_step_s,evaluation_grid_m,mean_observation_age_s,post_warmup_mean_age_s,terminal_p95_age_s,max_censored_unobserved_time_s,mean_max_censored_unobserved_time_s,post_warmup_coverage_percent,completed_blind_intervals,completed_blind_interval_mean_s,completed_blind_interval_p95_s,time_to_80_percent_s,time_to_95_percent_s,planning_runtime_s,landing_to_charge_delay_samples_s,mean_landing_to_charge_delay_s,airborne_vehicle_seconds,runtime_s
main,full,1,99.68172972221579,1721025,1721025.0,1726520,1721025,54293646,96.83015393735023,94.89275286529829,6333380,1,1.0,1177.6159691490566,1393.5468569875968,4067.0,6120,3076.964552394412,95.0481315015175,3924585,1195.3487899994523,3396,3009,4105,4.512519416999993,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,9.857423624999996
main,full,2,99.82739846627899,1723540,1723540.0,1726520,1723540,55450222,96.8917347165896,93.37259361546585,6478256,1,1.0,1122.4933032863985,1305.8530620029387,3694.0,6120,2917.8002982878857,96.32399277158677,4090600,1159.8236442086736,3118,3117,3791,4.589444374999999,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,10.076251374999998
main,full,3,99.66139981002247,1720674,1720674.0,1726520,1720674,56227814,96.93981700942527,92.23722796996991,6609135,1,1.0,1121.801193731972,1303.780018046474,3993.0,6120,2936.3323865347634,95.31328915969696,4276412,1083.109899373587,3113,3022,3827,4.588522374999968,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,10.121833374999994
main,full,4,99.43539605680792,1716772,1716772.0,1726520,1716772,56380152,96.95500643559812,91.68876239826838,6682588,1,1.0,1152.3500971068177,1352.7011608130297,4185.0,6120,2985.5687075736164,94.45109237078053,4373408,1059.3763854184197,3107,3024,4420,4.5516844590000005,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,9.951195959000017
main,full,5,99.724648425735,1721766,1721766.0,1726520,1721766,53910466,96.80624908714385,92.90856016438936,6244399,1,1.0,1177.0714802017212,1384.8597447468,4217.0,6120,3062.273090957533,94.52331858304566,3984834,1131.5186547294065,3261,3185,4282,4.485802082999999,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,9.721893709
main,full,6,99.48717651692422,1717666,1717666.0,1726520,1717666,58392587,97.05841770634345,91.6107089504013,6891667,1,1.0,1159.921912776129,1361.8960544456877,4568.0,6120,3014.999757894493,91.83641081481825,4503097,1028.8096592189775,3073,3008,3986,4.519074583000005,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,9.919433792000007
main,full,7,99.59270671640063,1719488,1719488.0,1726520,1719488,55237824,96.88711850778192,90.44669110805077,6403232,1,1.0,1144.4150384181696,1343.1141004002498,4259.0,6120,2954.93315107847,93.40795357134583,4140519,1104.513557358389,3174,2958,3963,4.594261125000003,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,10.014029124999979
main,full,8,99.68433612121493,1721070,1721070.0,1726520,1721070,54076115,96.81731943946048,92.46846438552761,6171972,1,1.0,1154.9418440429076,1362.3400342938794,4167.0,6120,2998.979127377615,94.15373120496722,3864587,1169.6816917305782,3121,2941,3944,4.62581849999998,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,10.008162167000023
main,full,9,99.555406250724,1718844,1718844.0,1726520,1718844,56522428,96.95900537039917,89.95417850601916,6660886,1,1.0,1174.5344418652073,1386.1163376178783,4412.0,6120,3040.746859578806,91.75051548780205,4413371,998.3485621308519,2863,3146,4400,4.523697541999979,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,9.848043915999995
main,no_heading,0,99.48057363945972,1717552,1717552.0,1726520,1717552,52510799,96.72914518021331,91.10361724128295,6311932,1,1.0,1228.9273650420037,1480.2290589377792,4326.0,6120,3159.6635445867987,93.81715821421125,3769707,1244.506102728939,3673,3139,4458,11.597365875000001,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,16.872044917000004
