feature_id,part_id,coord_index,x,y
0,0,0,3740.1318594454206,2907.771354797762
0,0,1,3761.055359590042,2926.296573543921
0,0,2,3778.9869162642863,2958.4255243288353
0,0,3,3798.1828142269515,2995.0218354328535
0,0,4,3813.289247150242,3046.380456665065
0,0,5,3818.050908718258,3092.4146743579768
0,0,6,3811.003147104406,3121.905764475465
0,0,7,3800.629674618889,3153.7479332159273
0,0,8,3791.153346975567,3177.6798537648283
0,0,9,3777.4208711909596,3210.7478112550452
0,0,10,3747.689725986158,3238.6595118599944
0,0,11,3723.178673823597,3251.775493758265
0,0,12,3697.5702449236996,3266.0503176329657
0,0,13,3667.2046634673607,3272.5829478884116
0,0,14,3636.9393482822343,3282.491327065509
0,0,15,3602.947405980027,3281.2483308953233
0,0,16,3572.3813764848164,3281.029902194161
0,0,17,3548.433252175397,3274.9839130290784
0,0,18,3518.6971979000373,3264.6050350987352
0,0,19,3483.117802702589,3324.22512537241
0,0,20,3411.9207663220586,3404.048922298476
0,0,21,3316.944161263702,3483.4534146990627
0,0,22,3240.42320634285,3536.4071771409363
0,0,23,3191.255947620375,3481.559412867762
0,0,24,3142.322458046081,3434.5880086123943
0,0,25,3066.609545079642,3362.5103014609776
0,0,26,2968.8738954960136,3273.068231535144
0,0,27,2923.96082057734,3227.713974258397
0,0,28,2878.571620327246,3183.309593266342
0,0,29,2835.2097490373417,3142.6577834715135
0,0,30,2787.905514406564,3098.3103375653736
0,0,31,2758.340169055038,3070.5931749432348
0,0,32,2738.176122444682,3036.876564116683
0,0,33,2695.1534743020893,3007.653566573281
0,0,34,2647.791335458518,2961.4012232809328
0,0,35,2612.368754123512,2930.0454032486305
0,0,36,2566.977012288291,2885.6408292120323
0,0,37,2510.0987408175133,2841.5784383704886
0,0,38,2455.077596756222,2795.5542094688863
0,0,39,2370.801313327218,2923.1599325630814
0,0,40,2317.618792650872,3005.6644783988595
0,0,41,2251.988861917518,3101.316533480771
0,0,42,2185.979386936291,3184.2031733863987
0,0,43,2136.44122813968,3245.3043272127397
0,0,44,2078.6051132411812,3315.1706125214696
0,0,45,2025.4269353956915,3397.6741114687175
0,0,46,1955.3989891415113,3489.1978046381846
0,0,47,1906.3717824716005,3567.3182257190347
0,0,48,1840.113835048105,3641.694330968894
0,0,49,1774.873618552927,3750.109143728856
0,0,50,1737.6601930889883,3793.807068379596
0,0,51,1624.0668261069804,3716.2873492143117
0,0,52,1569.955874101841,3624.2138844514266
0,0,53,1508.0549357800628,3557.924994946923
0,0,54,1375.4438860017108,3417.0926248352043
0,0,55,1229.7459851013264,3268.1333926706575
0,0,56,1097.0004425175139,3123.0447705369443
0,0,57,982.5034710936598,3015.7397024543025
0,0,58,872.7903569387272,2925.327214702964
0,0,59,740.0358325890847,2780.237380011007
0,0,60,589.9165224182652,2627.1488765748218
0,0,61,471.13260769163026,2519.971327297855
0,0,62,352.21869017067365,2408.538355337456
0,0,63,210.89746946684318,2263.703111852985
0,0,64,347.69003776460886,2114.7832401376218
0,0,65,426.1418488145573,2018.725067438092
0,0,66,571.1117308320827,1856.7821473199874
0,0,67,698.5959723544074,1682.5846083895303
0,0,68,839.0428358650533,1512.2579073039815
0,0,69,916.9941558918799,1399.1759037296288
0,0,70,1009.7637349570286,1208.9765921197832
0,0,71,1123.0318834666396,988.3441166812554
0,0,72,1196.4710336474236,819.4537906902842
0,0,73,1295.964455254667,689.4042904609814
0,0,74,1419.0403535915539,534.4383105537854
0,0,75,1508.0140115461545,459.1646557254717
0,0,76,1632.365876388445,346.5451054959558
0,0,77,1769.049340743397,239.5992453531362
0,0,78,1852.4915996042546,182.63749372726306
0,0,79,2056.9726297215093,309.6442374018952
0,0,80,2226.24840535986,480.10972977569327
0,0,81,2426.606243117887,673.8623077822849
0,0,82,2602.8363377086353,874.353952169884
0,0,83,2802.2795026603853,1037.8452121773735
0,0,84,2977.0493567356025,1189.9685437469743
0,0,85,3158.4139086661744,1360.0467769037932
0,0,86,3333.7073655424756,1530.2936347164214
0,0,87,3496.4839712956455,1688.8089058129117
0,0,88,3635.171811955108,1854.08474424202
0,0,89,3804.050112524419,2012.4180071777664
0,0,90,3904.8006428824156,2130.42031360697
0,0,91,4054.367536583275,2253.029156723991
0,0,92,4160.532425818965,2346.681990365032
0,0,93,4043.1802981037763,2489.3048216714524
0,0,94,3944.218551968748,2637.4285518713295
0,0,95,3838.2576761329547,2755.498290130403
0,0,96,3740.1318594454206,2907.771354797762
