feature_id,part_id,coord_index,x,y
0,0,0,2492.6741670214105,3536.7664403733797
0,0,1,1707.1552514785435,2804.1865760064684
0,0,2,1493.770562179212,2584.9345397474244
0,0,3,794.1812729513622,1936.8620293606073
0,0,4,187.3503929923172,1333.512357361149
0,0,5,1127.924120449461,189.0140939434059
0,0,6,1991.5350874843425,998.6108563640155
0,0,7,2592.298352324229,1534.9543234007433
0,0,8,3360.3043586148415,2347.370205470361
0,0,9,3002.787834352406,2900.2279342324473
0,0,10,3036.6940259293187,2970.4647819492966
0,0,11,3070.717164634494,3044.655661588069
0,0,12,3064.881160459947,3116.0709955026396
0,0,13,3051.2144215715234,3191.6761367991567
0,0,14,2993.1287088665413,3244.85224582674
0,0,15,2934.221725453215,3270.3480614488944
0,0,16,2871.340911751031,3295.96218491951
0,0,17,2823.4170714888605,3289.469781507738
0,0,18,2767.5449769474217,3283.213683125563
0,0,19,2721.735691642447,3347.899857216049
0,0,20,2659.9133004655596,3409.1039729327895
0,0,21,2582.5481403193553,3482.643533193972
0,0,22,2535.917940554733,3519.6496694125235
0,0,23,2492.6741670214105,3536.7664403733797
1,0,0,1706.8017282391083,2792.3228973639198
1,0,1,2592.298352324229,1534.9543234007433
2,0,0,790.7660551691079,1932.0936946729198
2,0,1,1256.7263155016117,1457.0469069741666
2,0,2,2158.2715595656773,2148.8880537063815
3,0,0,1568.7906590111088,1701.162715612445
3,0,1,2058.6836548155406,1046.7881622239947
4,0,0,507.0189898938406,1658.0761537374929
4,0,1,914.2069684411399,1172.2958893645555
4,0,2,1252.5548129382078,1457.1713276845403
5,0,0,2154.34731237957,2157.313115193043
5,0,1,2683.287532895338,2536.225328852888
5,0,2,3056.6640148101724,2034.9615135942586
6,0,0,2772.3359352602856,3285.42475766642
6,0,1,2217.2962378372904,2869.931504617911
6,0,2,1959.7183071462787,3052.0602371804416
7,0,0,2217.419715965865,2874.0817117630504
7,0,1,2551.1485934951343,2444.60925023444
