feature_id,point_index,longitude,latitude
0,0,-96.33765419369362,30.620272604967084
0,1,-96.34337821714374,30.616313579005435
0,2,-96.34585862730539,30.617937346564375
1,0,-96.33833259647272,30.615328358447826
1,1,-96.33521618370582,30.617207566760825
2,0,-96.34337821714374,30.620108408951822
2,1,-96.34119460819778,30.617846124389317
3,0,-96.34469262252848,30.61910498280689
3,1,-96.34255141375638,30.61686091942765
4,0,-96.34390821931498,30.61828399004338
4,1,-96.34253021366966,30.619232692166804
5,0,-96.34465022235463,30.617098099315854
5,1,-96.34352661775158,30.61790085770437
6,0,-96.33748459299866,30.616915653299685
6,1,-96.33684859039342,30.6162406000484
7,0,-96.33918059994679,30.616167621036396
7,1,-96.33833259647272,30.61529186860527
7,2,-96.33799339508317,30.614853989418947
8,0,-96.33515258344528,30.61675145159076
8,1,-96.33650938900387,30.61587570443973
8,2,-96.33799339508317,30.614853989418947
8,3,-96.33879899838384,30.614306637651197
8,4,-96.33915939986008,30.614635049083148
8,5,-96.33990140289973,30.614251902304275
8,6,-96.33890499881782,30.613138943539326
8,7,-96.33818419586487,30.613649811445654
8,8,-96.33879899838384,30.61434312786507
9,0,-96.33650938900387,30.615893949253078
9,1,-96.33684859039342,30.616258844793023
10,0,-96.3417140103257,30.621631772398786
10,1,-96.34061160580936,30.620436800704255
10,2,-96.33937140072877,30.619077616494025
10,3,-96.33869299794922,30.61827486786312
11,0,-96.34338984066595,30.61636091651664
11,1,-96.34338984066595,30.615919005742242
11,2,-96.34231617489806,30.61471378428864
11,3,-96.34131253081067,30.61360898477774
11,4,-96.34294637002279,30.61256443546452
11,5,-96.34467357147541,30.613126886494967
11,6,-96.34233951545808,30.61471378428864
12,0,-96.34296971058279,30.612604610646997
12,1,-96.34187270425488,30.61113820570749
12,2,-96.34348320290648,30.610153894047144
13,0,-96.34187270425488,30.611158293596674
13,1,-96.34012216224222,30.612303296376226
13,2,-96.33757804118332,30.608948600836726
13,3,-96.33862836639119,30.60828568317703
14,0,-96.34565387500277,30.61254434786784
14,1,-96.34462689035492,30.613146973971624
14,2,-96.344906977077,30.613548722623662
14,3,-96.34411339803123,30.613508547833703
14,4,-96.34420676027177,30.61300636154931
14,5,-96.34563053444226,30.612584523057862
14,6,-96.344906977077,30.613548722623662
14,7,-96.34343652178646,30.615939092639692
15,0,-96.34012216224222,30.612303296376226
15,1,-96.3388851125528,30.613146973971624
15,2,-96.33720459222067,30.611419435773485
15,3,-96.33680780269754,30.61186136708288
15,4,-96.33827825798856,30.613528635230338
16,0,-96.33606090477225,30.614412476581094
16,1,-96.33417031939854,30.61571813654153
17,0,-96.33684380671197,30.611846626649978
17,1,-96.33432782385864,30.60917373915764
18,0,-96.33432782385864,30.613521372989908
18,1,-96.33344329863667,30.61257404528469
18,2,-96.33316811301233,30.612218795006683
19,0,-96.33226393167446,30.613504456504828
19,1,-96.33350226698481,30.612658628492753
19,2,-96.33603790595406,30.610966950303762
20,0,-96.33759073912138,30.60895381475065
20,1,-96.33615584265031,30.607346659690563
