feature_id,part_id,coord_index,x,y,change_type
0,0,31,1258.776060554315,1792.0606350479648,y_trend_change
0,0,43,984.0114567406127,2025.3609832776708,y_trend_change
0,0,73,245.25350611787871,1241.05241813922,x_trend_change
0,0,91,1134.7107146451017,79.37661045378385,y_trend_change
0,0,109,1882.9128880721496,880.999149169928,x_trend_change
0,0,139,1497.424418706738,1423.491288448063,x_trend_change
0,0,193,1574.7617543847691,1580.7718815151602,x_trend_change
1,0,7,673.1280794751074,1378.625472371389,y_trend_change
9,0,19,1138.9573160270036,1118.022112238143,y_trend_change
9,0,25,1098.9755310253822,1142.501541921093,y_trend_change
9,0,31,1053.9272705542294,1087.8055428955704,x_trend_change
9,0,37,1142.3276432267546,991.6747211028512,y_trend_change
9,0,43,1191.902575612272,1050.287750309721,x_trend_change
12,0,7,725.9757597363496,1280.9117090632208,x_trend_change
12,0,19,874.4264330704368,1023.0382381225936,x_trend_change
12,0,25,713.6403985829189,941.5985288657248,y_trend_change
12,0,31,615.3030733460231,1025.914781133489,x_trend_change
13,0,7,812.947204640203,751.7047100788914,x_trend_change
14,0,7,1049.8424402280848,830.1420493328478,y_trend_change
14,0,13,1226.8569081272385,502.2879866429915,x_trend_change
15,0,7,577.4009404892373,1007.3454453006076,x_trend_change
15,0,13,568.7815204389238,1044.0232448691193,x_trend_change
15,0,13,568.7815204389238,1044.0232448691193,y_trend_change
15,0,19,630.3408605139508,1029.1836423967034,x_trend_change
15,0,31,495.6216742130539,957.7490009629012,x_trend_change
15,0,31,495.6216742130539,957.7490009629012,y_trend_change
16,0,7,1158.3770063684306,950.6761965328674,y_trend_change
16,0,13,1294.5633826070602,794.9995036632754,y_trend_change
16,0,19,1304.9014992745747,866.4205786650224,x_trend_change
