feature_id,part_id,coord_index,x,y
0,0,0,2990.1318594454206,2907.771354797762
0,0,1,3011.055359590042,2926.296573543921
0,0,2,3028.9869162642863,2958.4255243288353
0,0,3,3048.1828142269515,2995.0218354328535
0,0,4,3063.289247150242,3046.380456665065
0,0,5,3068.050908718258,3092.4146743579768
0,0,6,3061.003147104406,3121.905764475465
0,0,7,3050.629674618889,3153.7479332159273
0,0,8,3041.153346975567,3177.6798537648283
0,0,9,3027.4208711909596,3210.7478112550452
0,0,10,2997.689725986158,3238.6595118599944
0,0,11,2973.178673823597,3251.775493758265
0,0,12,2947.5702449236996,3266.0503176329657
0,0,13,2917.2046634673607,3272.5829478884116
0,0,14,2886.9393482822343,3282.491327065509
0,0,15,2852.947405980027,3281.2483308953233
0,0,16,2822.3813764848164,3281.029902194161
0,0,17,2798.433252175397,3274.9839130290784
0,0,18,2768.6971979000373,3264.6050350987352
0,0,19,2733.117802702589,3324.22512537241
0,0,20,2661.9207663220586,3404.048922298476
0,0,21,2566.944161263702,3483.4534146990627
0,0,22,2490.42320634285,3536.4071771409363
0,0,23,2441.255947620375,3481.559412867762
0,0,24,2392.322458046081,3434.5880086123943
0,0,25,2316.609545079642,3362.5103014609776
0,0,26,2218.8738954960136,3273.068231535144
0,0,27,2173.96082057734,3227.713974258397
0,0,28,2128.571620327246,3183.309593266342
0,0,29,2085.2097490373417,3142.6577834715135
0,0,30,2037.9055144065642,3098.3103375653736
0,0,31,2008.3401690550381,3070.5931749432348
0,0,32,1988.1761224446818,3036.876564116683
0,0,33,1945.1534743020893,3007.653566573281
0,0,34,1897.791335458518,2961.4012232809328
0,0,35,1862.3687541235122,2930.0454032486305
0,0,36,1816.977012288291,2885.6408292120323
0,0,37,1760.0987408175133,2841.5784383704886
0,0,38,1705.0775967562222,2795.5542094688863
0,0,39,1620.801313327218,2923.1599325630814
0,0,40,1567.618792650872,3005.6644783988595
0,0,41,1501.988861917518,3101.316533480771
0,0,42,1435.9793869362911,3184.2031733863987
0,0,43,1386.4412281396799,3245.3043272127397
0,0,44,1328.6051132411812,3315.1706125214696
0,0,45,1275.4269353956915,3397.6741114687175
0,0,46,1205.3989891415113,3489.1978046381846
0,0,47,1156.3717824716005,3567.3182257190347
0,0,48,1090.113835048105,3641.694330968894
0,0,49,1024.873618552927,3750.109143728856
0,0,50,987.6601930889883,3793.807068379596
0,0,51,874.0668261069804,3716.2873492143117
0,0,52,819.9558741018409,3624.2138844514266
0,0,53,758.0549357800628,3557.924994946923
0,0,54,625.4438860017108,3417.0926248352043
0,0,55,479.74598510132637,3268.1333926706575
0,0,56,347.0004425175139,3123.0447705369443
0,0,57,232.50347109365975,3015.7397024543025
0,0,58,122.7903569387272,2925.327214702964
0,0,59,-9.964167410915252,2780.237380011007
0,0,60,-160.08347758173477,2627.1488765748218
0,0,61,-278.86739230836974,2519.971327297855
0,0,62,-397.78130982932635,2408.538355337456
0,0,63,-539.1025305331568,2263.703111852985
0,0,64,-402.30996223539114,2114.7832401376218
0,0,65,-323.8581511854427,2018.725067438092
0,0,66,-178.88826916791731,1856.7821473199874
0,0,67,-51.40402764559258,1682.5846083895303
0,0,68,89.04283586505335,1512.2579073039815
0,0,69,166.99415589187993,1399.1759037296288
0,0,70,259.76373495702865,1208.9765921197832
0,0,71,373.03188346663956,988.3441166812554
0,0,72,446.4710336474236,819.4537906902842
0,0,73,545.964455254667,689.4042904609814
0,0,74,669.0403535915539,534.4383105537854
0,0,75,758.0140115461545,459.1646557254717
0,0,76,882.365876388445,346.5451054959558
0,0,77,1019.0493407433969,239.5992453531362
0,0,78,1102.4915996042546,182.63749372726306
0,0,79,1306.9726297215093,309.6442374018952
0,0,80,1476.24840535986,480.10972977569327
0,0,81,1676.606243117887,673.8623077822849
0,0,82,1852.8363377086353,874.353952169884
0,0,83,2052.2795026603853,1037.8452121773735
0,0,84,2227.0493567356025,1189.9685437469743
0,0,85,2408.4139086661744,1360.0467769037932
0,0,86,2583.7073655424756,1530.2936347164214
0,0,87,2746.4839712956455,1688.8089058129117
0,0,88,2885.171811955108,1854.08474424202
0,0,89,3054.050112524419,2012.4180071777664
0,0,90,3154.8006428824156,2130.42031360697
0,0,91,3304.367536583275,2253.029156723991
0,0,92,3410.532425818965,2346.681990365032
0,0,93,3293.1802981037763,2489.3048216714524
0,0,94,3194.218551968748,2637.4285518713295
0,0,95,3088.2576761329547,2755.498290130403
0,0,96,2990.1318594454206,2907.771354797762
